agg__claimlosscause,claimlosscause,tpvehicledamage,tpvehicletowed,tpvehicledriveable,tpvehicletotalloss,tpvehiclerecovered,ivehicledamage,ivehicletowed,ivehicledriveable,ivehicletotalloss,ivehiclerecovered,trt__ivehicledamage,trt__ivehicledriveable,trt__ivehiclerecovered,trt__ivehicletotalloss,trt__ivehicletowed,trt__tpvehicledamage,trt__tpvehicledriveable,trt__tpvehiclerecovered,trt__tpvehicletotalloss,trt__tpvehicletowed,claimdecision,claimliability,claimlodgemethod,policyproducttype,policychannel,policypremiumbilling,new__claimdecision,new__claimliability,new__claimlodgemethod,new__policychannel,new__policypremiumbilling,new__policyproducttype,savings,claimid,claimstatus,claimcatastrophecode,claimcatastrophedesc,claimlosssuburb,claimlossstate,cls,claimincidentdescription,claimpolicenotified,claimpolicedate,claimpolicetime,claimfirenotified,claimreserve,claimexcesstotal,claimexcessapplicable,claimexcesswaived,policybrand,policystatus,policylob,policytype,policybillingrenewal,policyalterations,riskmotoragreedvalue,riskmotormarketvalue,risksuburb,riskstate,risksuminsured,riskmotorpurchaseprice,tpvehicleyear,tpvehicledriverage,ivehicleyear,ivehicledriverage,insured_parties,tp_parties,tp_parties_var,ActivityOwner,AdditionalInsured,Agent,AlternateContact,AnimalOwner,AppointmentContact,AssessmentLocation,Assessor,Broker,CaseManager,Claimant,ClaimantDependent,Complainant,Cyclist,DefenceBarrister,DefenceLawFirm,Defendant,Driver,Employee,Employer,Engineer,Executor,ExternalAssessor,Financier,FormerInsured,HireCarAgency,ImpactParty,IncidentParty,Informant,InjuredParty,Insured,InsuredRepresentative,Interestedparty,Investigator,LawEnforcementAgency,LegalCaseManager,ListedDriver,MainContact,MakeSafeProviderGeneralBuilder,Mortgagee,MotorRepairShop,NegotiationContact,Neighbour,Observer,Occupant,Other,OtherInsurer,Owner,OwningAgency,Passenger,Payee,Pedestrian,Plaintiff,PlaintiffLawFirm,PlaintiffsAttorney,Powerofattorney,PrimaryAssessor,RealEstateAgent,RecoveryAgent,RecoveryOnBehalfOf,RecoveryPayer,RepairShop,Repairer,Reporter,ResponsibleParty,ResponsiblePartyForIncident,SalvageService,ServiceProvider,SharpAgency,Supervisor,Supplier,Suspect,Swimmer,TPSettlementParty,Tenant,ThirdPartyInsurer,TowingAgency,TransportCarrier,UnitOwner,Vendor,Witness,claim_lag_losslodge,claim_lag_lossinception,claim_lag_lossalteration,fraud_class,prev_claims,POLICYINCEPTIONDATE,POLICYEXPIRYDATE,POLICYNBRCLAIMS,flag_claimpolicenotified,flag_claimfirenotified,flag_ivehicledriveable,flag_trt_ivehicledriveable,flag_trt_tpvehicledriveable,flag_prev_claims,flag_trt_ivehicletotalloss,flag_trt_tpvehicletotalloss,flag_newclaimlodgemethod_phone,new_claimlodgemethod_make,flag_aggclaimlosscause_driving,flag_aggclaimlosscause_parked,flag_aggclaimlosscause_theft,flag_aggclaimlosscause_hazard,flag_motorrepairshop,flag_salvageservice,flag_towingagency,alternate_fraud_class,flag_trt_tpvehicliedriveable,flag_trt_ivehicledamage,flag_trt_tpvehicledamage,flag_claimexcesswaived,flag_clsStat
Damage Whilst Driving,Damage Whilst Driven,No,No,Yes,No,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,Yes,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6356446,Closed,,,Llandilo,NSW,Insured Hit in Rear by Third Party,My son was stationery at the traffic lights. The car behind (TPV1) was not able to stop on time and hit our car It pushed our car to the car in front (TP2).     IV POI: P/S rear tail light_ Centre rear bumper bar and boot. P/S front bumper  TPV1 POI: Centre front bumper bar    TPV2 POI: P/S rear bumper bar,No,NA,NA,No,305.53,1025,0,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,6880,0,CRANEBROOK,NSW,6880,0,0,0,2002,17.88,1,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,5,360,0,yes,2/23/2014,2/23/2015,0,0,0,1,1,1,1,0,0,1,NA,1,0,0,0,0,0,0,1,1,1,0,0,0
Damage Whilst Parked,Damage Whilst Parked,,,,,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6356543,Closed,,,RUSHCUTTERS BAY,NSW,Accidental Damage whilst parked,I was asleep in my car_ keys were out of ignition_ a car that was parked in front of me reversed into my car and side swiped me as it was exiting the park.  It then sped off .  -IO-POI -front panel and PS front panel wheel area/ crash centre/alarm system/electrical wire system/airbags  -TP-unknown,Yes,NA,NA,No,41.25,600,0,No,GIO,In force,Personal Insurance,Personal auto,"Automatic",0,15990,0,NORTHBRIDGE,NSW,15990,22880,0,0,2002,58.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,610,120,0,yes,6/28/2012,6/28/2014,0,1,0,1,1,0,1,0,0,1,NA,0,1,0,0,0,0,0,1,0,1,0,0,0
Damage Whilst Driving,Damage Whilst Driven,,,,,,Yes,No,No,Yes,,Yes,No,No,Yes,No,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,At Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6356622,Closed,,,KURMOND,NSW,Collision with Stationary Object,My husband Andrew was driving down a hill. The road was slippery due to rain. The rear d/s tyre has blown and he has lost control of the car and run into a fence.,Yes,NA,NA,No,23950.14,800,800,No,Suncorp,In force,Personal Insurance,Personal auto,"Automatic",0,19575,0,KURRAJONG,NSW,19575,0,0,0,2011,47.28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,18,347,0,yes,2/10/2014,2/10/2015,0,1,0,0,0,0,1,1,0,1,NA,1,0,0,0,0,1,0,1,0,1,0,0,1
Damage Whilst Driving,Damage Whilst Driven,Yes,Yes,No,No,,Yes,No,Yes,No,,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,At Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6356737,Closed,,,ROCKINGHAM,WA,Insured Failed Right of Way,I come out of Emma St into WanlIs St_ I didn't TP and collided with TP vehicle.  IV POI - P/S front guard pushed in;  TPV POI - front bumper insured not sure of extent damage,Yes,NA,NA,No,4652.11,450,450,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,20600,0,CALISTA,WA,20600,32250,0,0,2010,68.41,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,179,1103,358,0,yes,2/21/2011,2/21/2015,0,1,0,1,1,0,1,0,0,1,NA,1,0,0,0,0,0,1,1,0,1,1,0,0
Theft,Theft,,,,,,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6356821,Closed,,,BUSHLAND BEACH,QLD,Theft of vehicle,My car was parked out the front of my house_ I was woken by the police who advised me they have found my car stolen and burnt    point of impact: total burnt,Yes,NA,NA,No,22232.45,600,600,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,22300,0,BUSHLAND BEACH,QLD,22300,20000,0,0,2006,23.1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68,759,337,0,yes,2/1/2012,2/1/2015,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,1,1,1,1,0,1,0,0,0
Damage Whilst Driving,Damage Whilst Driven,Yes,No,Yes,No,,Yes,Yes,No,Yes,,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,INTERNET,Annual,Accept,At Fault,Phone,INTERNET,Annual,Motor Comprehensive,0,6357174,Closed,,,GUILDFORD,NSW,Hit a parked car,I was driving straight along exelsior Street and I look out of the way_ check left and right of the road and  the next thing I know I already hit a parked car and pushed it forward hitting another car at park too.    IV POI: PS front  TPV1 POI: rear DS  TPV2 POI: rear,No,NA,NA,No,30400.89,720,720,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,18800,0,MERRYLANDS,NSW,18800,15000,0,0,2004,24.94,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,357,8,0,yes,3/9/2013,3/9/2014,0,0,0,0,0,1,1,1,0,1,NA,1,0,0,0,0,0,0,1,1,1,1,0,0
Damage Whilst Driving,Damage Whilst Driven,,,,,,Yes,No,No,Yes,,Yes,No,No,Yes,No,No,No,No,No,No,Accept,At Fault,Phone,,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6357310,Closed,,,SMEATON GRANGE,NSW,Collision with Stationary Object,I turned out of a driveway_ i have driven off_ my foot has slipped of the clutch_ I have swearved and over corrected and drove over to the other side of the road into a flower bed and over a fire hydrant    point of impact: front end and underneath,Yes,NA,NA,No,28430.62,1025,1025,No,JCI,In force,Personal Insurance,Personal auto,"Automatic",0,39650,0,MOUNT ANNAN,NSW,39650,39500,0,0,2013,22.47,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,355,10,0,yes,3/11/2013,3/11/2014,0,1,0,0,0,0,1,1,0,1,NA,1,0,0,0,0,1,0,1,0,1,0,0,1
Theft,Theft,,,,,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,,INTERNET,Monthly,Accept,Not at Fault,Phone,INTERNET,Monthly,Motor Comprehensive,0,6357312,Closed,,,MUNNO PARA WEST,SA,Theft of vehicle,MY CAR WAS PARKED ON THE STREET IN FRONT OF MY HOUSE_ I WENT OUT AT ABOUT 6PM TO MY AUNTIES FOR DINNER WITH MY MUM AND WHEN I RETURNED I NOTICED MY CAR WAS MISSING.    IV DMG: THEFT,Yes,3/2/2014,2100,No,20550,2450,2450,No,JCI,In force,Personal Insurance,Personal auto,"Automatic",0,23000,0,MUNNO PARA WEST,SA,23000,23000,0,0,2007,19.22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,281,84,0,yes,5/24/2013,5/24/2014,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,0,0,0,1,0,1,0,0,0
Damage Whilst Parked,Damage Whilst Parked,,,,,,Yes,Yes,No,Yes,,Yes,No,No,Yes,Yes,No,No,No,No,No,Accept,No Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,No Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6357313,Closed,,,SUNSHINE,VIC,Fire,I was driving my car_ was at the lights and noticed some smoke_ I have pulled over got out of the car_ opened the bonnet and fire came out    point of impact: engine_ whole car,No,NA,NA,No,8891.65,625,625,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,9100,0,ALBION,VIC,9100,7500,0,0,2003,26.55,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,52,313,0,yes,1/9/2014,1/9/2015,0,0,0,0,0,0,1,1,0,1,NA,0,1,0,0,0,1,0,1,0,1,0,0,0
Damage Whilst Driving,Damage Whilst Driven,,,,,,Yes,No,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,No,No,No,Accept,At Fault,Phone,,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6357334,Closed,,,WARRIMOO,NSW,Collision with Stationary Object,I was driving in heavy rain_ and hit a bump in the road as I was approaching a bend. This has caused me to lose control and collided into a barrier and into the median strip.,Yes,NA,NA,No,12490.65,2625,2625,No,JCI,In force,Personal Insurance,Personal auto,"Automatic",1,19200,0,ST CLAIR,NSW,19200,18500,0,0,1999,21.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,393,337,0,yes,2/1/2013,2/1/2015,0,1,0,1,1,0,1,1,0,1,NA,1,0,0,0,0,1,0,1,0,1,0,0,1
