claimlosscause,tpvehicledamage,tpvehicletowed,tpvehicledriveable,tpvehicletotalloss,tpvehiclerecovered,ivehicledamage,ivehicletowed,ivehicledriveable,ivehicletotalloss,ivehiclerecovered,trt__ivehicledamage,trt__ivehicledriveable,trt__ivehiclerecovered,trt__ivehicletotalloss,trt__ivehicletowed,trt__tpvehicledamage,trt__tpvehicledriveable,trt__tpvehiclerecovered,trt__tpvehicletotalloss,trt__tpvehicletowed,claimdecision,claimliability,claimlodgemethod,policyproducttype,policychannel,policypremiumbilling,new__claimdecision,new__claimliability,new__claimlodgemethod,new__policychannel,new__policypremiumbilling,new__policyproducttype,savings,claimid,claimstatus,claimcatastrophecode,claimcatastrophedesc,claimlosssuburb,claimlossstate,cls,claimincidentdescription,claimpolicenotified,claimpolicedate,claimpolicetime,claimfirenotified,claimreserve,claimexcesstotal,claimexcessapplicable,claimexcesswaived,policybrand,policystatus,policylob,policytype,policybillingrenewal,policyalterations,riskmotoragreedvalue,riskmotormarketvalue,risksuburb,riskstate,risksuminsured,riskmotorpurchaseprice,tpvehicleyear,tpvehicledriverage,ivehicleyear,ivehicledriverage,insured_parties,tp_parties,tp_parties_var,ActivityOwner,AdditionalInsured,Agent,AlternateContact,AnimalOwner,AppointmentContact,AssessmentLocation,Assessor,Broker,CaseManager,Claimant,ClaimantDependent,Complainant,Cyclist,DefenceBarrister,DefenceLawFirm,Defendant,Driver,Employee,Employer,Engineer,Executor,ExternalAssessor,Financier,FormerInsured,HireCarAgency,ImpactParty,IncidentParty,Informant,InjuredParty,Insured,InsuredRepresentative,Interestedparty,Investigator,LawEnforcementAgency,LegalCaseManager,ListedDriver,MainContact,MakeSafeProviderGeneralBuilder,Mortgagee,MotorRepairShop,NegotiationContact,Neighbour,Observer,Occupant,Other,OtherInsurer,Owner,OwningAgency,Passenger,Payee,Pedestrian,Plaintiff,PlaintiffLawFirm,PlaintiffsAttorney,Powerofattorney,PrimaryAssessor,RealEstateAgent,RecoveryAgent,RecoveryOnBehalfOf,RecoveryPayer,RepairShop,Repairer,Reporter,ResponsibleParty,ResponsiblePartyForIncident,SalvageService,ServiceProvider,SharpAgency,Supervisor,Supplier,Suspect,Swimmer,TPSettlementParty,Tenant,ThirdPartyInsurer,TowingAgency,TransportCarrier,UnitOwner,Vendor,Witness,claim_lag_losslodge,claim_lag_lossinception,claim_lag_lossalteration,fraud_class,prev_claims,POLICYINCEPTIONDATE,POLICYEXPIRYDATE,POLICYNBRCLAIMS,flag_claimpolicenotified,flag_claimfirenotified,flag_ivehicledriveable,flag_trt_ivehicledriveable,flag_trt_tpvehicledriveable,flag_prev_claims,flag_trt_ivehicletotalloss,flag_trt_tpvehicletotalloss,flag_newclaimlodgemethod_phone,new_claimlodgemethod_make,flag_aggclaimlosscause_driving,flag_aggclaimlosscause_parked,flag_aggclaimlosscause_theft,flag_aggclaimlosscause_hazard,flag_motorrepairshop,flag_salvageservice,flag_towingagency,alternate_fraud_class,flag_trt_tpvehicliedriveable,flag_trt_ivehicledamage,flag_trt_tpvehicledamage,flag_claimexcesswaived,flag_clsStat
Damage Whilst Driven,,,,,,Yes,Yes,No,Yes,,Yes,No,No,Yes,Yes,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6098617,Closed,,,DONNYBROOK,QLD,Collision with Stationary Object,I was driving and I swerved to avoid an animal and went off the side of the road and hit part of a concrete culvert  IO:p/s underneath_front wheel and front p/s light,No,NA,NA,No,9348,600,600,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,9850,0,TOORBUL,QLD,9850,19300,0,0,2003,29.2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,294,2121,70,0,no,3/12/2008,3/12/2014,2,0,0,0,0,0,0,1,0,1,NA,1,0,0,0,1,1,1,1,0,1,0,0,1
Damage Whilst Parked,,,,,,Yes,No,No,Yes,,Yes,No,No,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6098716,Closed,,,BRIGHTON EAST,VIC,Malicious damage,I had gone out for New Years and returned home about 1.00am. My car was parked in the driveway with a cover over the top. I got up about 7.00am to let the dog out. I noticed the cover was on the grass and there was fluid all over the car. There are also scratches on the windscreen. They have put leaves  and water in my fuel tank aswell. I took some photos and went to the Police station,Yes,1/1/2014,26100,No,17737.64,1000,1000,No,GIO,In force,Personal Insurance,Personal auto,"Automatic",1,21100,0,BRIGHTON EAST,VIC,21100,70000,0,0,1987,68.18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,7761,274,0,yes,10/2/1992,10/2/2014,0,1,0,0,0,0,1,1,0,1,NA,0,1,0,0,0,1,0,1,0,1,0,0,0
Damage Whilst Driven,,,,,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6098755,Closed,,,DOLLS POINT,NSW,Insured Reversed into Third Party,My husband was parked and it was very dark and he didn't noticed another car was parked opposite him and he had reversed into the car behind him causing impact to the d/s rear bumper of our car and to the other cars d/s rear bumper.,No,NA,NA,No,539.44,625,625,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,29120,0,GLENDENNING,NSW,29120,0,0,0,2011,32.07,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127610,5,360,0,yes,9/30/2013,9/30/2014,0,0,0,1,1,0,1,0,0,1,NA,1,0,0,0,0,0,0,1,0,1,0,0,0
Damage Whilst Driven,Yes,No,No,Yes,,Yes,No,No,Yes,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6098839,Closed,,,RICHLANDS,QLD,Third Party Hit in Rear by Insured,She was just driving straight and there was a car just ahead of her that had just come onto the road.  This car was full in the lane is she has hit this in the back.    Iv POI: front bumper  TP POI: rear bumper,No,NA,NA,No,18901.8,1200,1200,No,Suncorp,In force,Personal Insurance,Personal auto,"Automatic",0,16800,0,RICHLANDS,QLD,16800,0,2004,32,2006,39.6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,674,57,308,0,yes,11/5/2013,11/5/2014,0,0,0,0,0,0,1,1,1,1,NA,1,0,0,0,0,1,1,1,0,1,1,0,0
Damage Whilst Driven,,,,,,Yes,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6098864,Closed,,,ALTONA,VIC,Collision with Stationary Object,My daughter was going through a roundabout and a truck came in front of her and hit the accelerator instead of the brake and she has hit the gutter  iv poi # rear p/s wheel,No,NA,NA,No,4637.79,2000,2000,No,APIA,In force,Personal Insurance,Personal auto,"Automatic",0,16000,0,HOPPERS CROSSING,VIC,16000,0,0,0,2005,18.72,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2603,221,144,0,yes,5/23/2013,5/23/2014,0,0,0,0,0,0,1,0,0,1,NA,1,0,0,0,0,0,0,1,0,1,0,0,1
Damage Whilst Driven,Yes,Yes,No,No,,Yes,Yes,No,Yes,,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,Not at Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6098869,Closed,,,SUNSET STRIP,VIC,Third Party Failed Right of Way,****ACTUAL TIME 7:45PM***    I was driving along the main road_ when a car has pulled out from a T intersection on my left_ and collided with my car. Then_ bvecause of the incline on the road_ the car has rolled down a second time_ and hit my car again.    IV POI front P/S 1/4 panel_ P/S front bonnet_ P/S rear 1/4 panel_ P/S rear door  TP POI front bumper_ bonnet_ grille,Yes,NA,NA,No,9773.53,2025,0,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,9360,0,WARRANDYTE SOUTH,VIC,9360,80000,0,0,1997,20.83,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4668,55,0,no,3/22/2001,2/25/2014,4,1,0,0,0,0,0,1,0,1,NA,1,0,0,0,1,0,0,1,0,1,1,0,0
Damage Whilst Driven,,,,,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,No,No,No,No,Accept,No Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,No Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6098971,Closed,,,NICHOLS POINT,VIC,Hit an animal,I WAS DRIVING WHEN A LARGE HARE JUMPED OUT AND HIT THE FRONT BUMPER.,No,NA,NA,No,2768.09,600,600,No,Suncorp,In force,Personal Insurance,Personal auto,"Automatic",0,35000,0,PAGET,QLD,35000,0,0,0,2013,52.04,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,363,0,yes,12/30/2013,12/30/2014,0,0,0,1,1,0,1,0,0,1,NA,1,0,0,0,0,0,0,1,0,1,0,0,0
Damage Whilst Driven,Yes,No,Yes,No,,No,No,Yes,No,,No,Yes,No,No,No,Yes,Yes,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6099250,Closed,,,HEATHCOTE,NSW,Hit a parked car,I reversed out of my sisters driveway which is steep and I have reversed into a parked car.  IV POI rear tow bar  TPV POI front p/s bumper pushed in front p/s guard pushed in,No,NA,NA,No,1298.36,600,600,No,GIO,In force,Personal Insurance,Personal auto,"Automatic",1,17000,0,JINDABYNE,NSW,17000,17000,1999,0,2006,62.1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1089,356,9,0,yes,1/9/2013,1/9/2014,0,0,0,1,1,1,1,0,0,1,NA,1,0,0,0,0,0,0,1,1,0,1,0,0
Theft,,,,,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6099322,Closed,,,LAMBTON,NSW,Theft of vehicle,I have left my car on gisborne street at 2pm and when I have come back to it the next morning it was no longer there.,Yes,NA,NA,No,15375,2525,1625,No,JCI,In force,Personal Insurance,Personal auto,"Automatic",1,17000,0,WALLSEND,NSW,17000,20000,0,0,2004,24.73,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,266,99,0,yes,4/9/2013,4/9/2014,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,0,0,0,1,0,1,0,0,0
Theft,,,,,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Reject,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Reject,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,9300.77,6099515,Closed,,,MELTON,VIC,Theft of vehicle,My son's car was parked in the driveway at his home and this morning he found it had been stolen.,Yes,NA,NA,No,1211.07,1100,1100,No,GIO,In force,Personal Insurance,Personal auto,"Automatic",1,10500,0,MELTON,VIC,10500,10500,0,0,2002,32.16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,58,247,118,0,yes,4/29/2013,4/29/2014,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,0,1,1,1,0,1,0,0,0
